Rating,Review
5.0,Perfect 👍🏻 quality price design 💯
3.0,Little bit transparent.... petticoat must...all ok..but....cloth thin..
5.0,Good guilty
5.0,"Soft touch
And good fabric"
4.0,Overall all
5.0,I like it same as shown
5.0,Amazing product
5.0,Really very nice.
5.0,fabric and quality is good 👍
5.0,Very nice quality worth it very good thank you Flipkart
1.0,"Fabric quality is not good.its not summer appropriate but ,at this price range it's ok"
5.0,Product was too good
5.0,Very good 👍🏻😊😊
5.0,Vary nice
5.0,Very beautiful.
5.0,"Awesome product, same as shown in picture"
5.0,This product is very beautiful and comfortable... You can buy this product.
4.0,Good one
5.0,Product is good and fabric quality is also good.
5.0,Ok 👎
1.0,Transparent suit and salwar ......... Very disappointed
5.0,Nice dress
3.0,"Very thin febric.....
ok ok type....."
5.0,"Beautiful kurta set...😍
It's cotton material, perfect for summers and got in affordable price ...
My size is M...😊
It's a must buy suit..."
5.0,Liked the product . Upto the mark .
5.0,So beautiful 😻😻😻
5.0,I love this product 🤩 it's very beautiful 😍
4.0,I am very happy 😊
4.0,Nice product 😍😍
5.0,Very beautiful kurti. I like it 👌
5.0,It's pure rayon with perfect embroidery and perfect finishing and in this range it's a perfect buy go for it
4.0,"After one wash it shrink in breath ,so order one size bigger , length is 41 inch , nice colour and beautiful thread work,but according my height is on my knees,it's perfect for 5'3 and below ."
5.0,Nice kurti I love this
5.0,Good product but more money 💰
5.0,"Best quality products
I LIKE IT 👌👌👌✨✨✨👍👍👍👍🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥"
4.0,Looking Nice.
5.0,Same product good quality love it.Thank you flipcart.
2.0,"Product shrinked after one wash from XL to medium . So could not wear for second time.
Wasted my money on this product"
5.0,💖❤️😘 Very good 😊 product.
4.0,"The product is good. Though haven't washed yet. But the only problem is, order one size larger."
5.0,"Very nice kurti darun quality,colour and design.. thank you filpkart"
5.0,beautiful kurti i am so happy
5.0,I love this kurti
5.0,Just waooooo
4.0,The delivered kurta is exactly the same as it's shown in the picture. Embroidery is very nice.
3.0,Good one
4.0,Good products
4.0,Very nice kurti
4.0,"very nice kurti. I love it.❤️❤️
Thank you flipkart."
5.0,Awesome kurti 👌👌tq flpcrt
4.0,Same as shown
3.0,Very nice
5.0,Nice top 👍🏻👌🏻
5.0,Very very very nice👍👍👍
5.0,Very nice product I am so happy thanks Flipkart 😊😊
5.0,Lovely 😍😍
5.0,Nice kurti👌
4.0,Allover good purchase
5.0,"The product is too good... it's comfortable,soft and nice work just a bit loose to me go for it"
4.0,Same as shown...very comfortable material...easy to wear... must buy this product 👍💛👍
5.0,So Sweet Product 😍
2.0,Not perfect to the price
4.0,Good as per the price. Comfortable to wear... regularly...
5.0,Good product.
1.0,"Worst product
It is tered"
4.0,Product is nice but it's not 3xl it's xl. quality is good 👍
1.0,Worst
4.0,Very nice and comfortable.the work is so beautiful value of money thank you flipkart 😇🙏
1.0,Very bad quality pro
1.0,"Worst in Quality,Size, Stitching,Material"
5.0,Super fitting very nice
1.0,"Terrible quality, the stitching tore when worn for the second time. Do not buy this item."
3.0,Ok ok
3.0,Require one more size
5.0,Colour nd digien very nice 👌 👍 jarur khariden
5.0,Colour nd quality very nice jarur khariden
1.0,Very bad quality 👎
1.0,"After first wash, kurti becomes so tight..Don't buy this product."
5.0,Very good product 👍
4.0,My friend like it
5.0,Nice 👍
4.0,Quality is very good
5.0,Very very nice 👍
1.0,Worst fitting and workman ship is so poor
5.0,Amazing quality
5.0,Excellent material at price
5.0,"Very good dress and fitting very nice
Thnx flipkart"
3.0,Fabric very Transparent...thin material SIZE XL BUT TOO TIGHT
5.0,Very nice looking 👌 wow
5.0,Wow looking so pretty 😍 love the product.size n colour was outstanding.i am very happy.tq Flipkart 💕
4.0,Nice kurti
5.0,Good quality .. Worth for money
1.0,Fitting is not good 😔
2.0,Poor quality
1.0,Very poor quality I had wore it for 4-5 times and the stitches of the cloth started to tear even I stiched and wore. Not at all satisfied with the product 😕
5.0,Beautiful 😍 thank you Flipkart 😊
1.0,Very poor quality all things
3.0,Moderate quality
5.0,Price according good fabric all okay
4.0,Overall good product
5.0,Love it 😍
5.0,Literally amazing 🥰😍😍😍😍💕
5.0,Awesome 👍👍👍👍 saree
5.0,Blouse piece is very beautiful
4.0,It's good at this price
5.0,Amazing 😍😍😍😍😍😍 just wow
5.0,Wonderful saree 👌👌👌👌
4.0,It's quality okay okay....
5.0,It looked good and I liked it
4.0,Super quality 😉
5.0,Wonderfull product
5.0,Very good.👍
5.0,Soo cute very beautiful saree i like this 🥰🥰🥰 I'm very happy 😊
5.0,I like it
4.0,am so happy 😊 😃 😀
4.0,It's good
5.0,Suprb
5.0,Loved it! I am soooo happy
1.0,"Same as shown in the picture, worth it"
5.0,Good febric osm colour 💯% value for money
1.0,Color was very dul
5.0,Awesome 👍
5.0,Good quality and soo beautiful Saree
5.0,Very good product I like it
5.0,Sharee quality is very good
5.0,Saree is superb as same as shown in picture cloth quality is also good but i disappointed bcoz the lenght of the saree is little bit short otherwise everything is good
5.0,"very good saree
according to the price it's very very good 👍 go for it guys"
5.0,nyc product
4.0,The saree is good but the border is a bit prominent so I will give it 4 stars
5.0,Super quality same as shown in picture ❤️❤️ I really love this product
5.0,Exlent supar
1.0,"I gave one star because I am dead for the person for whom I ordered this saree,Some desires destroy our favorite people forever"
4.0,V good product 🤞👍👍
5.0,The product is very gorgeous
5.0,Saari febric is good 👍😍and quality is best 💯
2.0,Not satisfied qua
5.0,Superb very happyyyyyyy.......
4.0,Very nice saree
3.0,Very good product I like it
5.0,Very nice sadi 😊❤️
4.0,Simple superb
4.0,Blouse fabric km hai otherwise good product
5.0,This saree is very nice and smooth......
5.0,Nice saree for daily wear....thanks flipkart
5.0,Really very gorgeous 😍
5.0,It's really very good
5.0,Very nice 👍🙂
5.0,Blouse embroidery is amazing
5.0,"Amazing, saree
Beautiful embroidery blouse same as shown in the image"
5.0,"Very good products , nice febric and nice colour."
5.0,Worth of money
4.0,Good.
5.0,"Nice quality, value of money 👍 thank you Flipkart ☺️"
5.0,Very nice 🙂.iam satisfied ☺️
3.0,Amazing 😍😍
5.0,Nice !
4.0,Worth for money
5.0,It's osm saree
3.0,Nyc
5.0,I'm very happy
5.0,Good product. I like it
5.0,Nice 👍🙂 product
5.0,wow sari .I love it
5.0,Saree super
5.0,"Love the colour, design, and fabric ❤️"
5.0,Very nice product go for its guy's
5.0,",Blouse Pr Thoda Sitar works hai , but Nice Quality 👌According to money"
5.0,"Good colour, product"
5.0,Amazing product 😍😍😍 thank you flipkart💙
5.0,It is beautiful I really liked it the length of the dress is also very good I am very happy with this purchase✌
5.0,"Very pretty kurta Palazzo set by Youthnic, loved it.. Go for it."
5.0,We liked this black colour suit very much and its quality is also very good. The dupatta in it also has work done on it. That is why we liked it very much. It looks very good. Its look is very good.
5.0,highly recommended
5.0,It just suits me a lot 🩷✨
5.0,"The suit is so adorable.! As expected.! The fabric is good and the price is so good as per the quality.
Loved this overall."
5.0,Loved the black outfit. It is of georgette material. Fitting is perfect. According to price it is wonderful.
5.0,"Quality of product is really superb.
I like this Quality vary much.
Fitting is also perfect.
Colour is vary pretty.
Thanks flipkart"
5.0,I love it 💗
4.0,I like this suit and the quality is pretty nice but the fitting was not good so i alter this but overall very nice dress.
5.0,I am so happy with this purchase this kurta Palazzo set is looking so good. Quality of fabric is very nice and fitting is also comfortable. It gives very elegant look and appropriate for all occasions. Totally worth it.
5.0,Superb dress. Quality is the best. Black color particularly looks superb. Embroidery on the dress is perfect and looks very nice. Makes you look extra slim after wearing. Waiting for the perfect occasion to wear this beauty.
5.0,Love this suit
5.0,"I recently purchased this Kurta set, and I must say it exceeded my expectations. The comfort it offers is remarkable, thanks to the high-quality material used. It's definitely worth the money spent. Highly satisfied with my purchase."
5.0,Really love this dress . Materials are is so nice. Thank you Flipkart.
5.0,Amazing design . Looking so traditionally and stylish. Colour is totally amazing. Border on wrist and ankle is just amazing. And the main part duppatta is so beautiful. I loved this dress. .
5.0,Very nice looking like a wowww😍😍
5.0,"I like this quality vary much.
Size is also vary nice as I expected.
Colour is also vary nice.
Duptta is really awesome.
Overall quality of product is worth.
Thanks Flipkart"
5.0,Beautiful and elegant embroidery work.Fabric is good and comfortable.Size and fit perfect too
5.0,"Amazing quality product totally love it ,work is also awesome, material is of also good quality,must buy product"
5.0,How pretty the embroidery is! It's simple yet elegant. The material is also lovely along with the quality. Go for it
5.0,"The georgette fabric is lightweight, breathable, and incredibly comfortable against the skin.
The stitching, embroidery, and overall craftsmanship are top-notch.👌5/5."
4.0,As in pic... looks good.. quality is not that great but good enough
5.0,Very nice suit at this price... quality is so gud material quality is awsme with nice kaam in suit ... perfect for every occasion... overall must buy product.
5.0,"Such a beautiful colour , material is so soft , light weight and comfortable to wear this . I like this dress very much. Dupatta is just like wow."
5.0,"I really like this dress
It's pretty
Same as in photo
Go for this dress it's pretty"
5.0,Exact product
5.0,"Loved this kurta Palazzo set ,Good quality for the price, The fitting was perfect for me, Loved the colour and the design as well, Very classy look 💚"
5.0,Very beautiful kurta set. nice embroidery. Light fabric. east to carry
5.0,Just looking like a waoo ... Beautiful 😍😍😍😍😍
5.0,"I love the dress very very very much. I'm happy with the fabric quality. Stichting, size perfect. No worry for maintenance, no need for iron. It is v.beautifull and comfortable. I like the color and design. Perfect for festivals, party and special ocassion. Dupatta is very pretty , price is worth"
5.0,"Good value for money, quality is good in this Price, colour and fabric and design also good. Kurta is very good and plazo fabric is superb.Loved the plazo suit Great quality fabric comfortable fit and stylish design. Definitely recommend for anyone looking for a chic outfit."
5.0,"I ordered my usual size, and the fit was perfect. The palazzo pants are wide-legged and flowy, providing great comfort. The dupatta complements the outfit beautifully, adding an elegant touch.I believe the set offers great value for money."
5.0,"Georgette Kurta Palazzo Dupatta Set is a stylish and comfortable ethnic wear ensemble perfect for various occasions. The set includes a kurta, palazzo pants, and a dupatta, all made from high-quality georgette fabric."
5.0,What a beautiful kurta set it is... Loved the fit and all... The quality is also very nice... Highly impressed with the purchase... Go for it
4.0,Nice suit.....
5.0,the best dress i have ever wore i love it
5.0,"I'm satisfied this product, very nice suit😍😍"
5.0,Very nice dress
5.0,Love it😍
5.0,Love this product 😍
5.0,Wow amazing shuit same as a picture beautiful dupatta nd golden work is just wow
5.0,"First of all the quality is quite good, also the dupatta with kurta palazzo was awesome, and it is worth it at this reasonable price"
5.0,The dress looks so pretty and came in exact size which I placed the order so happy for good purchase
5.0,Amazing and preetiest suit i ever got....the fabric and design is so
5.0,Dress looks elegant suit is so so so amazing beyond my expectation❤ girls go for it..... Overall everything is osmmmmmmmm
5.0,"This is very good partywear dress for me.
This is very good for festive season.
I like the colour of this dress.
Good"
5.0,This Looks So good on me perfect colour perfect fitting loved this. Precisely a good shade.
5.0,Loved the shade of green and it gives so rich vibes the kurti is perfect and also the material is too good must go for this
5.0,The material is superior quality and the fit is impeccable. The result was a beautiful suit that makes me look and feel like a good
5.0,This is a really beautiful kurta Palazzo set. It's so comfortable. The fabric quality is really good. Dupatta is also very beautiful. Loved it.
5.0,"Genuinely, I didn't expected this much good quality like everything is too good colour, size, fit and it's skin friendly too and the cloth is so soft I definitely recommend this go for it gurlsss! ❤️🫠"
5.0,Without a single doubt go for it!!!! Trust me this dress looks expensive and gives perfect fitting! It looks elegant.... Everything is way too good!
5.0,"I ordered this outfit for festival. Nice dress, lovely design and comfortable to wear, perfect fit."
5.0,The product design is very beautiful and it's febric quality is awesome
5.0,"Perfect fitting, Like the colour, awesome fabrics and good material 🤩"
5.0,Loved this kurta palazzo set..❤ color and embroidery work is good and has a shine to it.. Worth the price..
5.0,"Such a beautiful black kurta set.
The best part is the lace detailing. Totally worth the money."
5.0,It is really beautiful and awesome Kurta set... It's fitting and colour is really good and very comfortable to wear.. I have washed it and it didn't fade any colour... It's has really pretty design and fabric is very soft.
5.0,Good one... looks fancy.. grand look ... quality is also good .. dupatta also has some unique style.. overall nice
5.0,Very beautiful kurta set. Very comfortable for wearing. I really like it. Highly recommended.
5.0,"Loved this black suit , quality is top notch."
5.0,Best one i loved this kurta set it looks so pretty quality is very good go for it very comfortable
5.0,fabric quality is excellent and dress was too good👍 don't think must buy it 😊
5.0,Fantastic dress .loved quality...go for it
5.0,"Such a pretty outfit it is. I have an eye for it for quite a while. And finally I got it for an occasion. Just wow. Looks so sheek and premium, like amazing. And the embroidery and fabric. Everything is amazing."
5.0,Very much attractive suit. Perfect fit. Awesome look for functions. Dupatta gives grace in the neck. No need to use neck jewellery with this dupatta.
5.0,Beautiful suit with soft fabric and embroidery is also finished look fab on me just grab this.
5.0,"Looks very beautiful. I am impressed with the quality of the embroidery and the material. Just as shown in the picture
The whole set looks extremely luxurious and elegant"
5.0,Beautiful product 👌
3.0,Nice project
3.0,Nice product
5.0,Nice product ❤️
5.0,"Beautiful suit . I loved the design and the colour. It fits me well, has lining inside and is perfect for any occasion"
5.0,"Ordered this for diwali and I loved it💥 fabric is pure, the minor detailing in bottom wear and sleeves makes it look royal. 10 on 10"
5.0,I really liked the product quality and the embroidery work is really nice......very attractive Kurta plazo set.....
5.0,I'm so happy.....ty so much flipkart
5.0,Beutiful
5.0,Loved it❣️😍
4.0,Looking good but in summer it's difficult to wear
5.0,💕 love
5.0,I like the colour and design of the suit . It's very comfortable and soft . I really like this suit.
5.0,This product is awesome thanks 👍
3.0,Look like good but very thin fabric
5.0,Very very nice tqq Flipkart
5.0,I like too much
5.0,So beautiful dress 😍
3.0,Colour was not same in the picture but fabric is good. .👍
5.0,Nice suit 😁 thankyou Flipkart
4.0,Very nice and good quality 👍
4.0,It is okay but the price is a bit more than the dress
5.0,Thank you so much for this type of amazing product 💕🤗
4.0,Okay
5.0,Product is good 👍🏻 but colour is 10% lighter than given picture
5.0,Kurti is so beautiful and fabric quality is good 👍 👌
3.0,COLOUR FAID AT FIRST WASH
3.0,According to price Product is good
5.0,Very nice 🙂☺️🤩
5.0,Seems to be okay. I LIKE IT
5.0,It is really amazing 😍😍
5.0,Good quality superb
5.0,Fabulous 😍😍😍😍😍
5.0,Very very nice and beautiful ❤️
5.0,This was great
4.0,Product is good 👍😊 happy
1.0,Very bad fabric quality 😞 really disappointed
5.0,Worth for money
5.0,I like kurta very much I wash n colour doesn't fade. It is very soft n beautiful ❤️
5.0,Good and worth
3.0,Just ok
5.0,"Good product
Cloth is very thick"
4.0,It is ok. The fabric is not so good. Worth the price. Stitching and fitting excellent
4.0,Product material is nice. But little bit transparent.
2.0,Dull
5.0,Very good product 👌
5.0,Go for it
5.0,Excellent material
5.0,"Fantastic pure cotton, perfect to fit"
1.0,Bad quality don't buy
2.0,Fabric not good
2.0,Quality okay but color is not good looking like old
2.0,"Fabric quality is very bad and pants is missing design change very very bed fellings, bought by this product."
5.0,"The color is very beautiful and the work done on it is also very good, the cloth also fits well"
5.0,Very nice kurta good quality good favourite
5.0,Supper
5.0,Very very comfortable kurta
5.0,"The kurti is very nice and I had ordered it earlier and it is still ready, thanks a lot, the Flipkart clothes were also very good and worth the money."
5.0,Good color and stitch quality
5.0,super product
4.0,Nice but very long
5.0,Really good.
4.0,It's good 👍
4.0,very good
1.0,Bad
4.0,Very nice and i like it
5.0,Excellent fabric
4.0,Model is
5.0,"Super fabric, good quality and look
wise also super👌worth for money👍"
5.0,The cloth quality is so good
5.0,Good febric
1.0,Very bad quality...
5.0,Nice kurti worth for money guys nice 🫶
5.0,Gud material.....worth for the price
3.0,Colour is very light
1.0,The fitting was not suitable
5.0,amazing Products...💫I Love It..❤️
4.0,Good my daughter is saying that I am satisfied and happy
3.0,Don't buy not satisfied not stitch properly
3.0,Cloth not cotton
4.0,Good 👍
5.0,Product was so good
5.0,nice kurti
2.0,Siz not good 😒
5.0,Pure cotton excellent quality 👌
4.0,Worth it hai product 👍🏻👍🏻.
5.0,Very comfortable n nice....didn't expect it to be so good as per the price...
4.0,Comfortable and value to money
4.0,"Beautiful kurti. I like it and colour osm same pic
Fabric cotten not transferred beautiful digine"
5.0,Comfortable fabric. Pretty color.
4.0,Nice ...
5.0,Good goog
